building_id,year,renovation_probability
1205,2025,0.1
76,2025,0.1
213,2025,0.4
218,2025,0.1
309,2025,0.2
358,2025,0.1
455,2025,0.1
463,2025,0.2
593,2025,0.1
1205,2026,0.1
76,2026,0.2
213,2026,0.4
218,2026,0.1
309,2026,0.2
358,2026,0.1
455,2026,0.1
463,2026,0.2
593,2026,0.1
863,2026,0.1
221,2026,0.1
251,2026,0.1
484,2026,0.1
561,2026,0.3
567,2026,0.1
1205,2027,0.2
76,2027,0.2
213,2027,0.4
218,2027,0.1
309,2027,0.2
358,2027,0.1
455,2027,0.1
463,2027,0.3
593,2027,0.1
863,2027,0.1
221,2027,0.1
251,2027,0.1
484,2027,0.2
561,2027,0.4
567,2027,0.1
1427,2027,0.2
224,2027,0.1
409,2027,0.1
442,2027,0.1
485,2027,0.1
516,2027,0.1
645,2027,0.2
1205,2028,0.2
76,2028,0.3
213,2028,0.5
218,2028,0.1
309,2028,0.2
358,2028,0.1
455,2028,0.1
463,2028,0.4
593,2028,0.1
863,2028,0.2
221,2028,0.1
251,2028,0.1
484,2028,0.2
561,2028,0.4
567,2028,0.2
1427,2028,0.2
224,2028,0.1
409,2028,0.1
442,2028,0.1
485,2028,0.2
516,2028,0.1
645,2028,0.2
1124,2028,0.2
1152,2028,0.1
1554,2028,0.1
97,2028,0.1
274,2028,0.1
509,2028,0.1
613,2028,0.3
1205,2029,0.3
76,2029,0.4
213,2029,0.5
218,2029,0.1
309,2029,0.2
358,2029,0.1
455,2029,0.1
463,2029,0.4
593,2029,0.2
863,2029,0.2
221,2029,0.1
251,2029,0.1
484,2029,0.2
561,2029,0.4
567,2029,0.2
1427,2029,0.2
224,2029,0.1
409,2029,0.1
442,2029,0.1
485,2029,0.2
516,2029,0.1
645,2029,0.2
1124,2029,0.2
1152,2029,0.1
1554,2029,0.1
97,2029,0.1
274,2029,0.1
509,2029,0.1
613,2029,0.3
803,2029,0.5
1115,2029,0.1
52,2029,0.1
486,2029,0.3
1205,2030,0.3
76,2030,0.4
213,2030,0.5
218,2030,0.1
